Macrotrends Data Download

Cyprus Net Migration Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Per 1000 Population, Annual % Change
1950-12-31,-7.179
1951-12-31,-6.583,-8.3
1952-12-31,-5.987,-9.05
1953-12-31,-5.391,-9.95
1954-12-31,-4.795,-11.06
1955-12-31,-4.199,-12.43
1956-12-31,-3.603,-14.19
1957-12-31,-3.007,-16.54
1958-12-31,-2.411,-19.82
1959-12-31,-4.912,103.73
1960-12-31,-7.413,50.92
1961-12-31,-9.913,33.72
1962-12-31,-12.414,25.23
1963-12-31,-14.915,20.15
1964-12-31,-12.457,-16.48
1965-12-31,-9.999,-19.73
1966-12-31,-7.542,-24.57
1967-12-31,-5.084,-32.59
1968-12-31,-2.626,-48.35
1969-12-31,-1.907,-27.38
1970-12-31,-1.189,-37.65
1971-12-31,-0.47,-60.47
1972-12-31,0.248,-152.77
1973-12-31,0.967,289.92
1974-12-31,0.701,-27.51
1975-12-31,0.435,-37.95
1976-12-31,0.168,-61.38
1977-12-31,-0.098,-158.33
1978-12-31,-0.364,271.43
1979-12-31,-1.883,417.31
1980-12-31,-3.401,80.62
1981-12-31,-4.92,44.66
1982-12-31,-6.438,30.85
1983-12-31,-7.957,23.59
1984-12-31,-5.432,-31.73
1985-12-31,-2.906,-46.5
1986-12-31,-0.381,-86.89
1987-12-31,2.145,-662.99
1988-12-31,4.67,117.72
1989-12-31,5.866,25.61
1990-12-31,7.063,20.41
1991-12-31,8.259,16.93
1992-12-31,9.456,14.49
1993-12-31,10.652,12.65
1994-12-31,10.89,2.23
1995-12-31,11.129,2.19
1996-12-31,11.367,2.14
1997-12-31,11.606,2.1
1998-12-31,11.844,2.05
1999-12-31,11.81,-0.29
2000-12-31,11.777,-0.28
2001-12-31,11.743,-0.29
2002-12-31,11.71,-0.28
2003-12-31,11.676,-0.29
2004-12-31,11.533,-1.22
2005-12-31,11.391,-1.23
2006-12-31,11.248,-1.26
2007-12-31,11.106,-1.26
2008-12-31,10.963,-1.29
2009-12-31,9.562,-12.78
2010-12-31,8.162,-14.64
2011-12-31,6.761,-17.16
2012-12-31,5.361,-20.71
2013-12-31,3.96,-26.13
2014-12-31,4.012,1.31
2015-12-31,4.065,1.32
2016-12-31,4.117,1.28
2017-12-31,4.17,1.29
2018-12-31,4.222,1.25
2019-12-31,4.193,-0.69
2020-12-31,4.164,-0.69
2021-12-31,4.136,-0.67
2022-12-31,4.107,-0.7
2023-12-31,4.078,-0.71
2024-12-31,4.056,-0.54
2025-12-31,4.034,-0.54
2026-12-31,4.013,-0.52
2027-12-31,3.991,-0.55
2028-12-31,3.969,-0.55
2029-12-31,3.952,-0.43
2030-12-31,3.934,-0.46
2031-12-31,3.917,-0.43
2032-12-31,3.899,-0.46
2033-12-31,3.882,-0.44
2034-12-31,3.868,-0.36
2035-12-31,3.853,-0.39
2036-12-31,3.839,-0.36
2037-12-31,3.824,-0.39
2038-12-31,3.81,-0.37
2039-12-31,3.798,-0.31
2040-12-31,3.786,-0.32
2041-12-31,3.775,-0.29
2042-12-31,3.763,-0.32
2043-12-31,3.751,-0.32
2044-12-31,3.742,-0.24
2045-12-31,3.734,-0.21
2046-12-31,3.725,-0.24
2047-12-31,3.717,-0.21
2048-12-31,3.708,-0.24
2049-12-31,3.703,-0.13
2050-12-31,3.698,-0.14
2051-12-31,3.692,-0.16
2052-12-31,3.687,-0.14
2053-12-31,3.682,-0.14
2054-12-31,3.68,-0.05
2055-12-31,3.678,-0.05
2056-12-31,3.676,-0.05
2057-12-31,3.674,-0.05
2058-12-31,3.672,-0.05
2059-12-31,3.672,0
2060-12-31,3.673,0.03
2061-12-31,3.673,0
2062-12-31,3.674,0.03
2063-12-31,3.674,0
2064-12-31,3.676,0.05
2065-12-31,3.679,0.08
2066-12-31,3.681,0.05
2067-12-31,3.684,0.08
2068-12-31,3.686,0.05
2069-12-31,3.689,0.08
2070-12-31,3.693,0.11
2071-12-31,3.696,0.08
2072-12-31,3.7,0.11
2073-12-31,3.703,0.08
2074-12-31,3.708,0.14
2075-12-31,3.712,0.11
2076-12-31,3.717,0.13
2077-12-31,3.721,0.11
2078-12-31,3.726,0.13
2079-12-31,3.731,0.13
2080-12-31,3.736,0.13
2081-12-31,3.742,0.16
2082-12-31,3.747,0.13
2083-12-31,3.752,0.13
2084-12-31,3.757,0.13
2085-12-31,3.762,0.13
2086-12-31,3.767,0.13
2087-12-31,3.772,0.13
2088-12-31,3.777,0.13
2089-12-31,3.781,0.11
2090-12-31,3.786,0.13
2091-12-31,3.79,0.11
2092-12-31,3.795,0.13
2093-12-31,3.799,0.11
2094-12-31,3.802,0.08
2095-12-31,3.805,0.08
2096-12-31,3.808,0.08
2097-12-31,3.811,0.08
2098-12-31,3.814,0.08
2099-12-31,3.817,0.08
2100-12-31,3.82,0.08
